Id;Dia;UserId;Texto;Puntuacion;Animo
0;2023-03-28;callmecarsonyt;@TheoriesDudu holy crap dude https://t.co/7RlJZ1M2mb;-0.3818;Negative
1;2023-03-28;callmecarsonyt;@Ecothedragon37 I’m not idling, I’m just opening the game and checking;0.0;Neutral
2;2023-03-28;callmecarsonyt;every day i open this game to this screen. it never changes. I am locked in a loop from which there is no escape in… https://t.co/Ah9SlLuvIv;-0.1326;Negative
3;2023-03-28;callmecarsonyt;@codeHusky sorry you lost your pet rock :/;-0.6124;Negative
4;2023-03-26;callmecarsonyt;@SolidusJJ Happy new year man! Let’s make 2013 a good one 😉;0.784;Positive
5;2023-03-23;callmecarsonyt;@gavintino https://t.co/mkQzwdjXbM;0.0;Neutral
6;2023-03-23;callmecarsonyt;@RyhonDev @codeHusky he freaking got you dude LOL it’s not real;0.186;Positive
7;2023-03-22;callmecarsonyt;@gavintino @RobDenBleyker banger;0.0;Neutral
8;2023-03-22;callmecarsonyt;sorry for gooing all over the new york subway :/;-0.4019;Negative
9;2023-03-22;callmecarsonyt;SORRY! MY BAD. https://t.co/PSYhmk1nRB;-0.762;Negative
10;2023-03-22;callmecarsonyt;@FURIOUSSScs https://t.co/DWVvnvykcN;0.0;Neutral
11;2023-03-22;callmecarsonyt;@CounterStrike just made this https://t.co/y74m997fpR;0.0;Neutral
12;2023-03-22;callmecarsonyt;@CMCChatOOC This is so hard;-0.2183;Negative
13;2023-03-22;callmecarsonyt;@MeowMoonified @Nux_Taku @ywuria just wanna say I’m huge. Tall mfer;0.3182;Positive
14;2023-03-21;callmecarsonyt;@Nux_Taku @MeowMoonified @ywuria what if we watched a good anime next time. that could be cool;0.6369;Positive
15;2023-03-21;callmecarsonyt;@MeowMoonified @ywuria hello everypony;0.0;Neutral
