Fecha_creación;Id;Texto;Fuente;Truncado;Respuesta_al_tweet;Respuesta_al_usuario_id;Respuesta_al_usuario_nombre;geo;coordenadas;lugar;contribucion;lenguaje;retweeteado
2023-03-28 23:59:40+00:00;1640866274648510471;RT @ZumiVT: Subathon rewards continued... This Friday night I'll be dubbing the Bee Movie and doing a tasting of various Mountain Dew flavo…;Twitter Web App;False;;;;;;;;en;False
2023-03-28 23:38:29+00:00;1640860944761868290;@ZBrag101 @HornyViperr @DiscussingFilm See How To Train Your Dragon, Coco, Ratatouille, Bee Movie, Hotel Transylvania;Twitter for Android;False;1640859659669061632;467822244;Cap_Handsome;;;;;en;False
2023-03-28 23:35:03+00:00;1640860079812497413;FINAL WARNING: Bee Movie (2007) will be removed in the next couple of days! https://t.co/PkbIlVmVLB #LastChance;New On Newtflix AUS/NZ;False;;;;;;;;en;False
2023-03-28 23:31:12+00:00;1640859112283013123;@ROTBTrailer I really want them to reveal or tease a lot of the leaks like animated bee or bb movie megatron however I doubt it will happen;Twitter Web App;False;1640805823742988307;1527483576748482568;ROTBTrailer;;;;;en;False
2023-03-28 23:16:31+00:00;1640855417952825344;@coreisma @Arbiter04032000 They literally went over this argument in the bee movie https://t.co/s4XyOvR84j;Twitter for iPhone;False;1640834232800133121;794941158;coreisma;;;;;en;False
2023-03-28 23:16:23+00:00;1640855382271873024;@ZenZanRoo @TheSunnyOne2 This is what the bee movie script was made for;Twitter for Android;False;1640854496116088833;64370677;ZenZanRoo;;;;;en;False
2023-03-28 23:13:26+00:00;1640854639347220480;@Felcca q isso, bee movie??;Twitter for iPhone;False;1640543236283416577;1122272669771210752;Felcca;;;;;en;False
2023-03-28 23:11:57+00:00;1640854266331168768;@levon_whiteguy the most impressive feat this will ever accomplish is kids on youtube recreating the bee movie from its script;Twitter Web App;False;1640853925049024512;28668180;levon_whiteguy;;;;;en;False
2023-03-28 22:58:28+00:00;1640850874401714176;Subathon rewards continued... This Friday night I'll be dubbing the Bee Movie and doing a tasting of various Mounta… https://t.co/h81AnXrnp3;Twitter for Android;True;;;;;;;;en;False
2023-03-28 22:55:00+00:00;1640849999771705346;@yoimiyaeis if we are talking about bee movie then HELL YEAH;Twitter for iPhone;False;1640769675960123393;1556341930086305792;yoimiyaeis;;;;;en;False
