Fecha_creación;Id;Texto;Fuente;Truncado;Respuesta_al_tweet;Respuesta_al_usuario_id;Respuesta_al_usuario_nombre;geo;coordenadas;lugar;contribucion;lenguaje;retweeteado
2023-03-27 15:12:53+00:00;1640371320050315266;Just been sent this… My granddaughter thinking she’s Vanessa with Barry #BeeMovie #bees #saveourbees 🥰🐝… https://t.co/ANZAQsgTRS;Twitter for iPhone;True;;;;;;;;en;False
2023-03-27 03:42:45+00:00;1640197642297679873;Nah cause she was really in love with a bee 🐝 #beemovie 💀🤣;Twitter for iPhone;False;;;;;;;;en;False
2023-03-25 22:02:25+00:00;1639749605045796867;They must have had a unbelievable camera when they filmed the bee movie #beemovie;Twitter for iPhone;False;;;;;;;;en;False
2023-03-25 20:01:49+00:00;1639719256790106112;30 minutes until our Storytime event takes place! Southern accent won, so this should be fun. Who HASN'T wanted to… https://t.co/PJhd5x6UfX;Twitter for Android;True;;;;;;;;en;False
2023-03-25 03:23:12+00:00;1639467945267982339;Beemovie_XD;Twitter for Android;False;1639467262389231616;1009607531293966337;Calazaboy;;;;;en;False
2023-03-24 23:36:13+00:00;1639410822878474245;I'm watching Bee Movie (2007) https://t.co/OGdiKVlbgw #BeeMovie #trakt;Trakt.tv;False;;;;;;;;en;False
2023-03-24 17:26:35+00:00;1639317799641268234;@mwnsty O favorito da beemovie;Twitter for Android;False;1639300596363583493;857352902255497216;mwnsty;;;;;en;False
2023-03-24 09:00:05+00:00;1639190336890126337;RT @MOTUdrawing: Brand New   💥Buzz-Off ⚔️🐝  by @MarcoGreco79   Other featured Buzz-Off art  for Week 3 of The Masters of the Universe Drawi…;Twitter for iPhone;False;;;;;;;;en;False
2023-03-24 00:26:40+00:00;1639061131120754688;RT @WhiteCuzz: It be like that #war #Vietnam #beemovie https://t.co/4NuJoib4Ve;Twitter for Android;False;;;;;;;;en;False
2023-03-23 19:01:49+00:00;1638979379446284289;@Bert_ferkle Get you panties out of you’re ass, sometimes the head below is the one thinking. #beemovie;Twitter for iPhone;False;1638977901256212544;1638610532314783747;Bert_ferkle;;;;;en;False
2023-03-22 07:15:06+00:00;1638439138792710145;@sp4rrw beemovie;Twitter for iPhone;False;1638438863642263553;961673537965707269;sp4rrw;;;;;en;False
2023-03-21 15:31:43+00:00;1638201729840717832;It be like that #war #Vietnam #beemovie https://t.co/4NuJoib4Ve;Twitter for iPhone;False;;;;;;;;en;False
2023-03-20 14:48:48+00:00;1637828542103801859;It's the #BeeMovie, human edition! https://t.co/UFhNvxWl3k;Twitter Web App;False;;;;;;;;en;False
