Fecha_creación;Id;Texto;Fuente;Truncado;Respuesta_al_tweet;Respuesta_al_usuario_id;Respuesta_al_usuario_nombre;geo;coordenadas;lugar;contribucion;lenguaje;retweeteado
2023-03-28 14:59:37+00:00;1640730366318198784;@TheoriesDudu holy crap dude https://t.co/7RlJZ1M2mb;Twitter Web App;False;1640727231570890752;2375779502;TheoriesDudu;;;;;en;False
2023-03-28 14:15:28+00:00;1640719257553063939;@Ecothedragon37 I’m not idling, I’m just opening the game and checking;Twitter for iPhone;False;1640718942560825344;1239005362096922624;Ecothedragon37;;;;;en;False
2023-03-28 14:10:29+00:00;1640718002944622595;every day i open this game to this screen. it never changes. I am locked in a loop from which there is no escape in… https://t.co/Ah9SlLuvIv;Twitter Web App;True;;;;;;;;en;False
2023-03-28 08:06:15+00:00;1640626341396508672;@codeHusky sorry you lost your pet rock :/;Twitter for iPhone;False;1640430828751560707;1016938753393332224;codeHusky;;;;;en;False
2023-03-26 20:02:09+00:00;1640081725836386305;@SolidusJJ Happy new year man! Let’s make 2013 a good one 😉;Twitter for iPhone;False;1640026155301388293;1123275031889567751;SolidusJJ;;;;;en;False
2023-03-23 16:39:54+00:00;1638943667053273091;@gavintino https://t.co/mkQzwdjXbM;Twitter for iPhone;False;1638765030270222339;891437684014686208;gavintino;;;;;und;False
2023-03-23 15:54:34+00:00;1638932257573355522;@RyhonDev @codeHusky he freaking got you dude LOL it’s not real;Twitter for iPhone;False;1638817229264281601;1212832338792501248;RyhonDev;;;;;en;False
2023-03-22 19:42:41+00:00;1638627278115467268;@gavintino @RobDenBleyker banger;Twitter Web App;False;1638619114884276225;891437684014686208;gavintino;;;;;in;False
2023-03-22 17:13:55+00:00;1638589837207904273;sorry for gooing all over the new york subway :/;Twitter Web App;False;1638589378254577684;2349536690;CallMeCarsonYT;;;;;en;False
2023-03-22 17:12:05+00:00;1638589378254577684;SORRY! MY BAD. https://t.co/PSYhmk1nRB;Twitter Web App;False;;;;;;;;en;False
2023-03-22 17:08:54+00:00;1638588574978252805;@FURIOUSSScs https://t.co/DWVvnvykcN;Twitter Web App;False;1638585414557605905;865156955911979008;FURIOUSSScs;;;;;und;False
2023-03-22 16:49:16+00:00;1638583635820388368;@CounterStrike just made this https://t.co/y74m997fpR;Twitter Web App;False;1638580074126659584;353780675;CounterStrike;;;;;en;False
2023-03-22 04:38:46+00:00;1638399800004562944;@CMCChatOOC This is so hard;Twitter for iPhone;False;1638398790569717760;1532592872616239106;CMCChatOOC;;;;;en;False
2023-03-22 04:37:44+00:00;1638399539882106880;@MeowMoonified @Nux_Taku @ywuria just wanna say I’m huge. Tall mfer;Twitter for iPhone;False;1638221144615428099;1350677879709966337;MeowMoonified;;;;;en;False
2023-03-21 13:08:15+00:00;1638165626224013316;@Nux_Taku @MeowMoonified @ywuria what if we watched a good anime next time. that could be cool;Twitter Web App;False;1638165379028594691;762107568244330496;Nux_Taku;;;;;en;False
2023-03-21 01:10:16+00:00;1637984938686382080;@MeowMoonified @ywuria hello everypony;Twitter Web App;False;1637977983427256328;1350677879709966337;MeowMoonified;;;;;en;False
