Fecha_creación;Id;Texto;Fuente;Truncado;Respuesta_al_tweet;Respuesta_al_usuario_id;Respuesta_al_usuario_nombre;geo;coordenadas;lugar;contribucion;lenguaje;retweeteado
2023-03-28 23:57:25+00:00;1640865707813421056;"""The Wolf of Wall Street"" is an extremely realistic movie. Except for this moment, in which Matthew McConaughey's c… https://t.co/hH70s0JBjn";Twitter Web App;True;;;;;;;;en;False
2023-03-28 23:55:47+00:00;1640865299602853889;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 23:54:43+00:00;1640865028034416640;RT @TheKazooHero: The Wolf of Wall Street (2013) Art by Alan Gillett. https://t.co/nbF7ujeddI;Twitter Web App;False;;;;;;;;en;False
2023-03-28 23:50:22+00:00;1640863933371232258;@DBookTrading Wolf of Wall Street to get ready for the trading day tomorrow;Twitter for iPhone;False;1640860005283889157;1401648294699442178;DBookTrading;;;;;en;False
2023-03-28 23:34:09+00:00;1640859852699254787;Wolf of Wall Street  The pursuit of happiness  Secret soldiers of Benghazi https://t.co/igDhC2kg9Y;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 23:19:36+00:00;1640856191223091201;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 23:07:22+00:00;1640853114960969728;What Happened to Monday Saving Private Ryan We Were Soldiers Count of Monte Cristo Black Hawk Down Inception Traini… https://t.co/GJ13vhQQbo;Twitter for Android;True;;;;;;;;en;False
2023-03-28 23:04:44+00:00;1640852452818731009;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 22:56:48+00:00;1640850456393154560;@PointmanC Nacho Libre, Apocalypse Now, Wolf of Wall Street, The Matrix, Train to Busan, Raiders of The Lost Ark, W… https://t.co/zMX4vWZGgn;Twitter for Android;True;1640824817879511041;1144637200635695105;PointmanC;;;;;en;False
2023-03-28 22:54:20+00:00;1640849834507730944;The Trial of The Chicago 7 ✔️ The Departed ✔️ Glory  Inception ✔️ Training Day  The Wolf Of Wall Street ✔️ Schindle… https://t.co/C2KJq5ECiH;Twitter for Android;True;;;;;;;;en;False
2023-03-28 22:51:59+00:00;1640849242779537415;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 22:45:18+00:00;1640847561119367168;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 22:43:40+00:00;1640847147644878848;RT @InvertedMrRobot: THE DARK KNIGHT DUNKIRK INTERSTELLAR THE HATEFUL 8 TOP GUN MAVERICK SKYFALL LOGAN MI : ROGUE NATION MANCHESTER BY THE…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 22:43:09+00:00;1640847020654211074;RT @LFGSwap: 🕶@LFGSwap x @arbitrum #BuildTogether  ✨LFGSwap(💙,🧡)  IDO is live now   🔥LFGSwap is undergoing a second review on @CertiK, more…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 22:41:52+00:00;1640846698036723714;@kmstx78 How much time ya got? As a kid, Kingdom of the Spiders stands out and as adult The Wolf of Wall Street. https://t.co/WbCANIwlIH;Twitter Web App;False;1640823689645117440;2311473590;kmstx78;;;;;en;False
2023-03-28 22:39:16+00:00;1640846041074343936;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 22:22:55+00:00;1640841925816201223;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 22:18:57+00:00;1640840928846831618;RT @TheToluSpinn: The Trial of The Chicago 7 The Departed  Glory  Inception  Training Day  The Wolf Of Wall Street Schindler's List Forrest…;Twitter Web App;False;;;;;;;;en;False
2023-03-28 22:11:48+00:00;1640839131226947585;RT @FNAFMovieUpdate: David Fischer is the assistant director of the movie, He’s been the assistant director on The Dark Knight Rises, Wolf…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 22:09:30+00:00;1640838549036584962;RT @g3thaunted: This case has been a pet fascination of mine for a while, and the court docs show how the @eBay  security chief would do th…;Twitter Web App;False;;;;;;;;en;False
2023-03-28 22:08:58+00:00;1640838414734876672;@ChrisCotillo Looks like Jonah Hill in the Wolf of Wall Street https://t.co/dkZNnKGChA;Twitter for iPhone;False;1640837378813173762;340696305;ChrisCotillo;;;;;en;False
2023-03-28 22:07:56+00:00;1640838156529401856;This case has been a pet fascination of mine for a while, and the court docs show how the @eBay  security chief wou… https://t.co/SamULfpcoR;Twitter Web App;True;;;;;;;;en;False
2023-03-28 21:57:55+00:00;1640835634272129024;If @cinemasins didn’t do a video about a film, that speaks volumes.  The Big Short, The Wolf of Wall Street, Dazed… https://t.co/hq5QbXwmf6;Twitter for iPhone;True;;;;;;;;en;False
2023-03-28 21:55:20+00:00;1640834984922558464;RT @InvertedMrRobot: THE DARK KNIGHT DUNKIRK INTERSTELLAR THE HATEFUL 8 TOP GUN MAVERICK SKYFALL LOGAN MI : ROGUE NATION MANCHESTER BY THE…;Twitter for Android;False;;;;;;;;en;False
